"URN","LA (code)","EstablishmentNumber","EstablishmentName","EstablishmentTypeGroup (name)","PhaseOfEducation (name)","ReligiousCharacter (name)","PercentageFSM","DistrictAdministrative (name)","OfstedRating (name)"
116321,"850","3163","Vernham Dean Gillum's Church of England Primary School","Local authority maintained schools","Primary","Church of England","3.6","Test Valley","Requires improvement"
116322,"850","3168","West Meon Church of England Voluntary Controlled Primary School","Local authority maintained schools","Primary","Church of England","10.6","Winchester","Good"
116323,"850","3169","West Tytherley Church of England Primary School","Local authority maintained schools","Primary","Church of England","10.2","Test Valley","Good"
116324,"850","3170","Whitchurch Church of England Primary School","Local authority maintained schools","Primary","Church of England","7.6","Basingstoke and Deane","Good"
116325,"850","3171","Wickham Church of England Primary School","Local authority maintained schools","Primary","Church of England","13.8","Winchester","Good"
116326,"850","3172","All Saints Church of England Primary School","Local authority maintained schools","Primary","Church of England","16.5","Winchester","Good"
116327,"850","3176","Western Church of England Primary School","Local authority maintained schools","Primary","Church of England","4.6","Winchester","Good"
116328,"850","3177","St Thomas' Church of England Infant School, Woolton Hill","Local authority maintained schools","Primary","Church of England","9","Basingstoke and Deane","Outstanding"
116329,"850","3181","St Bede Church of England Primary School","Local authority maintained schools","Primary","Church of England","4.5","Winchester","Outstanding"
116330,"850","3183","Liphook Church of England Controlled Junior School","Local authority maintained schools","Primary","Church of England","7.4","East Hampshire","Good"
116331,"850","3184","Saint James' Church of England Primary School","Local authority maintained schools","Primary","Church of England","10.5","Eastleigh","Good"
116332,"850","3185","St Michael's Church of England Controlled Infant School","Local authority maintained schools","Primary","Church of England","11","Rushmoor","Outstanding"
116333,"850","3186","St Michael's Church of England Controlled Junior School","Local authority maintained schools","Primary","Church of England","8.3","Rushmoor","Requires improvement"
